Element ID,Component Name,sigmaXX,sigmaYY,sigmaXY,Load Case
9,panel3,-27.203,81.591,118.656,Subcase 3 (LC3)
10,panel4,-7.328,-103.332,131.372,Subcase 3 (LC3)
11,panel4,-27.692,5.840,82.803,Subcase 3 (LC3)
12,panel4,-48.488,114.696,130.476,Subcase 3 (LC3)
13,panel5,0.431,-39.185,190.091,Subcase 3 (LC3)
14,panel5,-26.774,4.453,154.938,Subcase 3 (LC3)
15,panel5,-53.208,49.895,189.374,Subcase 3 (LC3)
16,panel6,-53.208,49.895,189.374,Subcase 3 (LC3)
17,panel6,-26.774,4.453,154.938,Subcase 3 (LC3)
18,panel6,0.431,-39.185,190.091,Subcase 3 (LC3)
19,panel7,-48.488,114.696,130.476,Subcase 3 (LC3)
20,panel7,-27.692,5.840,82.803,Subcase 3 (LC3)
21,panel7,-7.328,-103.332,131.372,Subcase 3 (LC3)
22,panel8,-27.203,81.591,118.656,Subcase 3 (LC3)
23,panel8,-29.473,6.361,101.150,Subcase 3 (LC3)
24,panel8,-30.625,-70.817,119.385,Subcase 3 (LC3)
25,panel9,-27.864,50.535,118.159,Subcase 3 (LC3)
26,panel9,-28.431,7.832,102.504,Subcase 3 (LC3)
27,panel9,-33.293,-41.178,120.102,Subcase 3 (LC3)
28,panel10,-23.343,22.165,131.058,Subcase 3 (LC3)
29,panel10,-27.256,7.078,111.231,Subcase 3 (LC3)
30,panel10,-20.481,-10.637,127.565,Subcase 3 (LC3)
